temperature,humidity,pressure,vibration
17.92,77.77,1018.90,1.09
24.44,49.96,1014.19,0.89
34.36,74.09,1021.96,0.05
29.08,51.27,1012.10,0.45
26.45,69.09,1032.31,0.66
31.31,64.94,1018.30,0.82
21.91,47.69,1019.91,0.15
31.77,63.39,1003.09,0.15
26.53,67.57,1020.21,-0.23
24.81,61.50,1011.82,0.05
22.09,32.86,1025.17,0.34
13.97,67.00,1027.00,0.70
21.79,51.72,1026.21,0.57
28.98,56.31,1025.69,-0.31
24.97,67.78,1036.69,0.67
27.74,47.29,1026.61,0.73
27.59,73.84,1011.32,0.43
34.41,75.17,1020.37,0.70
17.68,65.49,1025.94,0.86
21.42,36.06,1024.52,0.92
26.72,65.43,1002.53,0.73
28.25,88.00,1041.13,0.83
21.34,49.35,1015.19,0.90
33.71,60.13,1019.55,0.84
22.22,55.71,1013.72,1.04
30.88,26.12,1024.36,0.86
24.57,72.83,1016.58,0.43
29.65,73.74,1018.08,0.33
32.46,56.76,1024.18,0.36
30.42,60.44,1012.61,0.36
23.64,49.12,1000.92,0.72
25.84,60.79,1025.87,0.91
26.90,93.40,1033.32,0.65
23.50,76.01,1019.00,0.13
21.62,50.88,1026.30,0.42
18.41,41.74,1026.66,0.55
34.09,47.71,1031.96,0.21
18.03,15.49,1018.97,0.52
26.35,59.75,1007.82,0.65
25.50,56.65,1020.14,0.95
27.76,69.45,1025.73,0.93
22.81,72.82,1029.21,-0.03
26.73,54.26,1021.91,0.36
22.30,57.97,1042.26,0.52
23.19,74.14,1008.74,0.42
24.65,55.10,1023.29,-0.03
24.35,78.92,1034.24,0.42
26.56,62.35,1018.70,0.53
28.98,41.86,1012.71,-0.16
31.43,71.29,994.94,1.01
13.32,46.11,1018.83,0.66
24.88,55.35,1021.06,0.06
28.71,70.05,1033.91,1.07
27.85,82.90,1035.37,0.74
25.18,50.02,1021.84,0.54
24.56,68.24,1026.66,0.70
33.30,86.10,1011.37,0.55
23.33,60.23,1006.67,0.66
24.77,70.31,1026.94,0.18
33.22,49.68,1024.65,0.45
33.35,64.30,1039.42,0.40
20.15,70.55,1014.04,0.80
17.46,40.91,1012.89,0.46
21.78,54.41,1027.42,0.99
18.78,57.26,1027.22,0.31
20.43,70.07,1017.01,0.89
21.85,72.62,1023.85,0.46
15.66,52.12,1031.04,0.60
30.65,71.22,1019.38,0.61
19.67,83.83,1007.21,0.38
26.83,53.85,1014.68,0.21
26.59,55.08,1024.78,0.59
37.05,54.24,993.75,0.88
19.91,86.38,1018.10,0.44
18.30,64.73,1000.98,0.83
28.92,48.75,1012.39,0.64
23.63,71.03,1012.42,0.75
24.20,65.03,1029.76,0.93
27.36,75.85,1026.04,0.45
20.71,29.31,1020.06,0.23
26.00,23.21,1009.83,0.68
24.05,69.17,1024.47,0.87
30.52,89.28,1005.55,0.78
33.09,55.35,1026.53,0.50
29.72,106.98,1036.03,-0.01
