name,attr1_min,attr1_max,attr2_min,attr2_max
synthetic_D2_wide_86,50.2641,79.4817,45.0114,72.3437
synthetic_D2_wide_87,52.0086,85.5616,56.3272,70.7330
synthetic_D2_wide_88,48.7907,79.5347,61.6040,82.7266
synthetic_D2_wide_89,51.1352,82.3914,58.4924,78.3102
synthetic_D2_wide_90,56.7413,86.6906,59.3363,85.8157
synthetic_D2_wide_91,62.9748,80.6890,46.1552,80.6030
synthetic_D2_wide_92,54.5512,85.5214,56.6255,88.2941
synthetic_D2_wide_93,52.7349,83.9873,45.0114,78.1042
synthetic_D2_wide_94,54.8753,83.2669,54.2979,74.3705
synthetic_D2_wide_95,50.9688,79.8496,56.3345,72.6233
synthetic_D2_wide_96,58.0389,82.9903,45.0114,72.0438
synthetic_D2_wide_97,64.0653,86.6906,45.0114,76.6950
synthetic_D2_wide_98,58.1463,73.3695,45.0114,76.2185
synthetic_D2_wide_99,44.3203,73.1040,45.0114,72.7743
synthetic_D2_wide_100,59.7801,85.9921,45.0114,71.5572
synthetic_D2_wide_101,60.6132,84.5474,57.3582,75.3068
synthetic_D2_wide_102,52.7695,81.4617,45.0114,79.7707
synthetic_D2_wide_103,52.3260,74.9008,57.9464,80.1246
synthetic_D2_wide_104,60.7061,80.3353,56.2865,87.7905
synthetic_D2_wide_105,46.6401,79.0293,45.0114,75.2175
synthetic_D2_wide_106,55.9773,80.2009,57.4092,73.0736
synthetic_D2_wide_107,63.0253,86.6906,53.9847,80.3603
synthetic_D2_wide_108,54.5275,83.8907,55.9545,78.4303
synthetic_D2_wide_109,59.4260,86.6906,47.6411,75.8105
synthetic_D2_wide_110,62.2944,79.3020,45.0114,77.1867
synthetic_D2_wide_111,57.9300,85.5560,45.0114,70.1521
synthetic_D2_wide_112,53.1483,76.2133,48.7084,69.6748
synthetic_D2_wide_113,60.4080,79.7956,45.0114,78.1809
synthetic_D2_wide_114,56.2601,86.6906,56.6189,89.4109
synthetic_D2_wide_115,61.6839,85.8423,55.4031,79.4811
synthetic_D2_wide_116,58.7736,86.6906,57.0527,88.0491
synthetic_D2_wide_117,52.3003,81.5299,51.8722,75.8284
synthetic_D2_wide_118,51.6752,83.7024,57.2192,78.9076
synthetic_D2_wide_119,60.5900,86.6906,45.0114,77.7208
synthetic_D2_wide_120,56.2322,86.6906,46.1264,68.8000
synthetic_D2_wide_121,56.1196,78.6698,45.0114,74.9715
synthetic_D2_wide_122,51.9922,80.5960,45.0114,80.8228
synthetic_D2_wide_123,57.5105,85.7233,48.4628,84.9286
synthetic_D2_wide_124,59.0727,76.3179,45.0114,81.0552
synthetic_D2_wide_125,54.4779,78.2241,46.7531,84.5001
synthetic_D2_wide_126,51.6440,83.4808,45.0114,66.7038
synthetic_D2_wide_127,61.3503,76.9205,50.5444,76.1892
synthetic_D2_wide_128,44.9683,77.1477,56.2232,72.3684
synthetic_D2_wide_129,61.8941,86.6906,53.9765,86.4863
synthetic_D2_wide_130,45.7814,74.0470,58.4041,81.3189
synthetic_D2_wide_131,48.5126,74.5292,45.0114,73.1490
synthetic_D2_wide_132,52.2097,79.8593,47.2249,73.0837
synthetic_D2_wide_133,61.0315,86.6569,53.8527,81.6889
synthetic_D2_wide_134,47.3622,80.2998,58.2316,78.0170
synthetic_D2_wide_135,44.3203,68.1461,52.0677,89.2009
synthetic_D2_wide_136,58.6247,86.6906,51.3534,82.4650
synthetic_D2_wide_137,56.8299,86.6906,51.8188,68.2132
synthetic_D2_wide_138,60.1226,86.6906,45.0114,77.7922
synthetic_D2_wide_139,57.0702,86.2122,45.5834,74.6500
synthetic_D2_wide_140,55.0750,86.6906,50.4308,71.2982
synthetic_D2_wide_141,53.5284,79.7050,45.0114,73.7538
synthetic_D2_wide_142,56.6719,86.6906,57.4621,82.1303
synthetic_D2_wide_143,57.6987,86.6906,52.8943,81.7191
synthetic_D2_wide_144,44.3203,73.4915,47.1459,75.4455
synthetic_D2_wide_145,56.0155,76.2531,46.2019,84.3531
synthetic_D2_wide_146,60.8626,85.0814,49.9049,79.1025
synthetic_D2_wide_147,60.6813,79.3079,46.9304,76.1008
synthetic_D2_wide_148,51.6028,68.9648,53.3253,84.3667
synthetic_D2_wide_149,56.0754,76.8320,53.6281,78.8793
synthetic_D2_wide_150,50.3233,82.3703,52.3666,73.5610
synthetic_D2_wide_151,44.3203,75.7276,45.0114,71.9637
synthetic_D2_wide_152,44.8290,77.3820,46.7321,84.5389
synthetic_D2_wide_153,52.9494,74.1492,47.9266,74.4942
synthetic_D2_wide_154,44.9510,73.4420,45.0114,68.9563
synthetic_D2_wide_155,53.6069,86.4415,47.5617,69.9559
synthetic_D2_wide_156,55.9136,83.4008,45.0114,76.0622
synthetic_D2_wide_157,47.0947,80.1031,49.2908,73.2662
synthetic_D2_wide_158,57.6778,79.5420,54.9205,77.6631
synthetic_D2_wide_159,48.1652,78.8426,58.6519,77.6691
synthetic_D2_wide_160,58.2201,83.1663,50.6429,76.4989
synthetic_D2_wide_161,54.9399,79.4615,56.1366,75.8512
synthetic_D2_wide_162,56.0117,73.3485,45.0114,74.6082
synthetic_D2_wide_163,47.9547,71.8873,45.0114,77.2314
synthetic_D2_wide_164,58.5808,86.1058,45.0114,79.0605
synthetic_D2_wide_165,46.2401,77.8131,51.1240,69.6738
synthetic_D2_wide_166,55.3042,79.2182,53.0341,83.3803
synthetic_D2_wide_167,51.4166,83.8068,53.5935,90.0825
synthetic_D2_wide_168,52.8681,82.8093,52.8660,85.2912
synthetic_D2_wide_169,44.3203,74.1409,45.0114,68.8059
synthetic_D2_wide_170,55.0780,80.2820,52.0972,69.9832
synthetic_D2_wide_171,58.2060,85.5858,55.1609,78.3075
synthetic_D2_wide_172,56.0733,80.9831,45.0114,76.5763
synthetic_D2_wide_173,51.0162,76.8872,45.0114,72.8255
synthetic_D2_wide_174,51.4371,72.0347,45.6236,83.1984
synthetic_D2_wide_175,61.1648,86.6906,49.3084,72.8054
synthetic_D2_wide_176,58.2776,86.6906,45.0114,78.2598
synthetic_D2_wide_177,53.8095,75.5925,52.2968,73.9302
synthetic_D2_wide_178,46.0196,77.4264,49.2561,71.2735
synthetic_D2_wide_179,44.3203,73.5049,45.0114,74.7516
synthetic_D2_wide_180,49.2316,77.3008,51.9855,79.7871
synthetic_D2_wide_181,51.3973,73.4951,45.0114,72.1532
synthetic_D2_wide_182,59.5638,83.3152,55.3606,87.2680
synthetic_D2_wide_183,53.6591,77.0699,52.9827,81.8225
synthetic_D2_wide_184,55.8322,73.5130,46.1956,81.9844
synthetic_D2_wide_185,57.1224,86.6906,56.4134,88.6506
synthetic_D2_wide_186,44.3203,72.0298,45.0114,74.7791
synthetic_D2_wide_187,44.9819,71.5189,45.0114,70.9950
synthetic_D2_wide_188,57.3450,86.6906,51.4286,87.5066
synthetic_D2_wide_189,63.5599,84.4973,46.6965,75.1757
synthetic_D2_wide_190,63.5515,83.1281,46.2894,74.9784
synthetic_D2_wide_191,60.1348,84.0304,45.0114,71.3399
synthetic_D2_wide_192,52.0026,81.6852,55.6278,89.7092
synthetic_D2_wide_193,51.7025,72.5351,45.0114,74.9763
synthetic_D2_wide_194,57.5280,86.6906,53.7138,69.5200
synthetic_D2_wide_195,45.4167,76.1807,52.7397,78.8969
synthetic_D2_wide_196,53.7015,80.2597,55.9066,77.9726
synthetic_D2_wide_197,60.8738,78.5792,45.0114,74.4126
synthetic_D2_wide_198,51.8034,72.9350,50.7888,71.6974
synthetic_D2_wide_199,63.2419,82.3611,46.1322,84.2356
