name,attr1_min,attr1_max,attr2_min,attr2_max
synthetic_D2_medium_86,57.5350,67.4248,60.5392,67.6112
synthetic_D2_medium_87,73.4924,84.0556,60.2116,74.8926
synthetic_D2_medium_88,44.4558,60.2328,69.0123,88.6191
synthetic_D2_medium_89,44.3203,64.3777,69.8846,81.3758
synthetic_D2_medium_90,48.1775,70.3693,61.5277,70.6269
synthetic_D2_medium_91,51.3489,74.4289,56.9283,64.4757
synthetic_D2_medium_92,72.8688,84.5764,52.0918,82.5260
synthetic_D2_medium_93,70.9149,77.8055,62.8423,77.0801
synthetic_D2_medium_94,61.8434,68.0900,57.8391,71.8553
synthetic_D2_medium_95,44.3203,57.8700,66.8264,93.2881
synthetic_D2_medium_96,59.8539,64.6583,45.0114,68.3282
synthetic_D2_medium_97,67.8035,79.4609,64.8875,71.0459
synthetic_D2_medium_98,68.0746,79.8396,45.0114,70.4035
synthetic_D2_medium_99,61.3467,86.6906,52.4026,59.6864
synthetic_D2_medium_100,44.3203,64.6533,66.1173,93.2881
synthetic_D2_medium_101,68.2666,83.7226,59.4110,89.3650
synthetic_D2_medium_102,52.9307,69.6951,60.6649,72.1385
synthetic_D2_medium_103,64.2739,70.6481,56.2801,77.0227
synthetic_D2_medium_104,49.5037,66.7849,45.0114,59.6314
synthetic_D2_medium_105,48.3648,61.7208,77.9139,84.5865
synthetic_D2_medium_106,59.8404,67.0004,48.3228,81.5120
synthetic_D2_medium_107,66.8814,78.0880,58.1484,70.5978
synthetic_D2_medium_108,44.3203,67.1962,71.7122,82.8352
synthetic_D2_medium_109,71.3565,86.6906,69.3191,81.1365
synthetic_D2_medium_110,57.7582,76.8234,55.5238,64.2264
synthetic_D2_medium_111,49.7898,63.7922,53.1769,72.7793
synthetic_D2_medium_112,53.7694,69.2882,46.5629,57.4421
synthetic_D2_medium_113,56.5810,64.0352,45.0114,72.6852
synthetic_D2_medium_114,52.1122,62.7562,59.9093,76.7401
synthetic_D2_medium_115,44.3203,63.6162,56.5654,64.5068
synthetic_D2_medium_116,55.2086,59.8136,46.7165,68.6681
synthetic_D2_medium_117,44.3203,56.7398,58.5585,86.4171
synthetic_D2_medium_118,59.2743,74.7027,56.5431,64.1541
synthetic_D2_medium_119,52.1358,66.1904,55.7509,65.2305
synthetic_D2_medium_120,58.7423,81.4799,70.3155,79.0425
synthetic_D2_medium_121,65.1349,81.8293,67.9590,72.8362
synthetic_D2_medium_122,67.2080,75.0552,56.3107,70.6139
synthetic_D2_medium_123,61.6862,71.4372,60.0158,70.8646
synthetic_D2_medium_124,44.3203,63.4923,70.2413,81.2383
synthetic_D2_medium_125,44.3203,66.7282,70.4269,81.6249
synthetic_D2_medium_126,60.7244,79.7692,69.8612,76.7258
synthetic_D2_medium_127,65.6474,83.5970,59.4158,68.2692
synthetic_D2_medium_128,61.4655,73.4781,59.8786,67.1564
synthetic_D2_medium_129,63.4218,86.6906,45.3578,61.9338
synthetic_D2_medium_130,64.2993,72.5033,49.2417,86.4969
synthetic_D2_medium_131,45.4967,64.4567,45.0114,60.9424
synthetic_D2_medium_132,44.3203,55.0082,72.5727,81.3927
synthetic_D2_medium_133,54.5355,59.9811,48.6445,63.9381
synthetic_D2_medium_134,44.3203,59.1620,67.1229,93.2881
synthetic_D2_medium_135,71.1456,84.7896,54.9109,83.2325
synthetic_D2_medium_136,44.3203,64.4371,71.4622,87.2070
synthetic_D2_medium_137,44.3203,62.1394,60.9611,93.2881
synthetic_D2_medium_138,55.3065,76.5959,54.6679,62.7495
synthetic_D2_medium_139,52.8636,60.8906,54.4783,68.7207
synthetic_D2_medium_140,44.3203,63.8441,66.9958,93.2881
synthetic_D2_medium_141,51.3820,76.3254,49.3840,58.3990
synthetic_D2_medium_142,69.7422,74.3370,51.1722,72.2520
synthetic_D2_medium_143,66.2165,71.8727,45.0114,76.9009
synthetic_D2_medium_144,44.3203,53.6460,65.5000,93.2881
synthetic_D2_medium_145,62.0036,86.6906,67.8634,73.7212
synthetic_D2_medium_146,53.7506,66.7946,52.1059,57.9953
synthetic_D2_medium_147,63.9534,85.7908,45.0114,65.1558
synthetic_D2_medium_148,64.7760,86.6906,61.2405,71.6985
synthetic_D2_medium_149,44.3203,56.8654,64.3848,86.2038
synthetic_D2_medium_150,44.3203,65.4821,52.3913,63.0491
synthetic_D2_medium_151,69.3352,86.6906,64.6550,82.7802
synthetic_D2_medium_152,53.0180,62.4106,45.0114,76.6577
synthetic_D2_medium_153,44.3203,68.5341,76.8700,82.4300
synthetic_D2_medium_154,73.4455,79.2491,51.7588,70.7442
synthetic_D2_medium_155,46.0589,56.5217,64.4088,85.7742
synthetic_D2_medium_156,52.1786,64.8884,67.5911,89.0723
synthetic_D2_medium_157,44.3203,66.3098,49.3526,62.3348
synthetic_D2_medium_158,67.8353,85.9259,66.2663,75.0469
synthetic_D2_medium_159,44.3203,59.6952,59.7791,93.2881
synthetic_D2_medium_160,68.4978,73.2544,54.4133,80.8221
synthetic_D2_medium_161,46.7190,73.1298,52.5356,57.4094
synthetic_D2_medium_162,70.4037,78.7791,54.9148,87.3754
synthetic_D2_medium_163,68.5679,78.9819,64.1053,73.0321
synthetic_D2_medium_164,47.4255,57.9289,72.2765,79.7753
synthetic_D2_medium_165,49.6911,64.1159,45.0114,58.6110
synthetic_D2_medium_166,45.7578,63.4450,47.4979,57.6597
synthetic_D2_medium_167,65.2326,70.2776,58.4929,75.9855
synthetic_D2_medium_168,73.5640,80.4946,53.9023,72.9681
synthetic_D2_medium_169,44.3203,64.0156,75.0334,83.4748
synthetic_D2_medium_170,62.1937,86.6906,65.9999,72.6671
synthetic_D2_medium_171,69.6696,75.6764,45.2740,76.3244
synthetic_D2_medium_172,53.0316,68.7978,59.6851,79.3241
synthetic_D2_medium_173,44.3203,56.8990,53.4811,91.9137
synthetic_D2_medium_174,48.3118,60.8208,76.6539,85.9363
synthetic_D2_medium_175,61.0791,82.7665,45.0114,60.8732
synthetic_D2_medium_176,44.3203,57.8804,65.5299,84.6947
synthetic_D2_medium_177,55.9495,82.9537,59.1333,65.0469
synthetic_D2_medium_178,74.5081,83.6935,49.5899,71.3963
synthetic_D2_medium_179,46.0816,65.9810,66.2326,92.1126
synthetic_D2_medium_180,70.5011,76.9991,45.0114,70.4092
synthetic_D2_medium_181,48.1942,62.8960,65.6021,93.2881
synthetic_D2_medium_182,60.2905,86.6906,50.2771,62.4285
synthetic_D2_medium_183,64.5312,69.7758,47.9663,84.4143
synthetic_D2_medium_184,44.3203,67.6856,73.9223,89.9109
synthetic_D2_medium_185,44.9419,64.5357,63.8565,93.2881
synthetic_D2_medium_186,57.5570,63.3724,53.1144,77.0518
synthetic_D2_medium_187,44.3203,69.2870,46.6317,61.7741
synthetic_D2_medium_188,44.3203,67.6782,70.5616,92.0942
synthetic_D2_medium_189,58.8393,69.6769,59.5479,68.3779
synthetic_D2_medium_190,68.2143,78.9729,46.0732,69.8552
synthetic_D2_medium_191,59.4828,82.1484,66.9052,76.5638
synthetic_D2_medium_192,44.3203,72.5818,70.2108,79.0954
synthetic_D2_medium_193,52.2178,72.4854,45.0732,59.8614
synthetic_D2_medium_194,69.0958,81.4240,58.4834,81.3324
synthetic_D2_medium_195,44.3203,70.1148,68.7820,92.6732
synthetic_D2_medium_196,44.3203,60.6529,74.5247,93.2881
synthetic_D2_medium_197,65.0993,73.4405,48.9433,72.5619
synthetic_D2_medium_198,53.1836,59.3380,45.0114,77.4198
synthetic_D2_medium_199,67.1698,86.6906,62.1265,78.0025
