attr1,attr2,attr3,attr4,attr5
54.8633,48.6056,26.3427,74.9100,22.4677
33.2509,69.3986,57.3915,54.2013,35.2939
61.6414,45.7488,38.0195,72.9459,70.8688
54.0158,43.0529,21.0526,80.6512,25.6530
56.0031,47.9319,24.5834,83.6434,20.2798
60.1742,53.3053,43.9928,65.9949,77.8550
67.4370,51.6326,40.8242,68.7557,67.1167
54.4191,47.3611,21.9452,73.4691,21.8523
63.3027,49.0013,42.1565,68.1055,76.6648
64.9241,49.5846,43.0143,64.0497,81.6585
66.6267,52.6862,40.0085,65.8575,78.9503
37.8974,74.8041,60.3511,56.0120,31.7231
71.6711,56.7593,39.1113,66.2950,69.9370
54.4529,53.1296,20.9543,80.8717,24.1874
40.4411,75.8183,57.5873,56.6278,35.4162
37.5315,75.3079,64.6237,51.5484,38.6629
51.9515,47.9688,22.8573,78.4563,24.8413
66.8044,31.0516,55.4353,31.5823,66.2927
65.5687,50.9265,40.9449,59.9711,73.9569
53.6078,55.8362,23.6965,75.8629,18.3653
56.9964,45.0882,24.1407,84.4261,18.1840
66.2501,44.6209,34.1578,71.8943,66.8258
69.0049,31.6997,54.1258,40.4808,67.8337
29.7531,68.9618,64.0892,52.9279,28.8064
62.8774,41.2135,32.4806,75.2058,68.0852
69.5444,49.8560,38.5054,58.0545,82.2537
67.3933,53.7338,40.6322,69.7528,76.3623
65.8406,49.8624,32.7720,77.0779,63.1763
40.0626,77.2379,57.5480,57.2038,29.8895
34.6742,71.2517,61.2843,64.5014,36.0834
64.1208,56.1327,38.0913,66.2723,81.4118
66.6164,53.7218,42.7596,61.8574,69.0953
60.9803,55.6760,40.7013,59.4496,81.9186
57.4497,46.5630,34.6685,69.2299,60.3848
33.7414,67.2393,60.0927,55.5760,33.7516
62.3134,52.7816,33.2743,62.5055,67.1350
38.4541,78.7789,55.2917,55.4184,41.6619
63.6619,51.7026,43.1742,67.9705,72.5136
35.3650,72.2022,61.1074,54.8589,30.8510
65.6312,44.6459,33.7880,65.2629,64.6249
35.2352,75.1953,55.6495,56.4714,35.7936
63.3150,27.2127,51.4835,34.2003,75.3102
51.6972,47.8058,24.2627,78.9799,26.7251
53.9625,49.7642,19.6127,79.8075,21.7227
64.3879,39.4865,36.9886,71.4133,62.2116
29.8062,74.6243,65.3877,53.2183,36.0663
38.8175,76.2640,62.9693,53.2608,38.0058
53.5142,46.9947,26.5967,77.6986,22.8748
49.8932,54.8037,19.0185,80.7635,18.2938
62.9427,47.1971,37.5584,67.6362,59.3798
52.4601,49.5220,24.7847,78.2995,20.4635
74.8261,55.2252,37.3284,58.4305,77.9251
50.1946,49.3835,26.5875,79.7383,22.9263
62.2928,45.2388,33.2373,71.8989,62.0423
32.1434,69.8901,62.9402,55.8384,31.3969
62.5056,33.7245,50.3664,34.8299,67.8467
62.1263,27.7427,49.5727,34.2263,64.2756
49.2754,43.8146,18.5732,80.2299,21.6455
37.7269,73.3012,57.5002,51.7240,30.9544
33.2722,81.4408,64.0773,57.9899,31.3279
47.8455,51.7301,21.5224,79.2112,19.3176
57.7030,48.8578,22.7446,80.3684,20.2466
48.8956,48.4809,24.7051,79.5615,17.2266
62.3019,34.5444,50.1533,33.8783,67.7598
59.1246,48.3927,33.2188,75.9980,64.1247
50.6950,54.3634,22.6856,81.8595,15.1432
68.2218,46.8841,31.0146,76.6073,70.2082
63.7434,53.8026,39.3401,66.2480,70.3037
67.0272,58.6416,39.7001,65.4188,84.7129
64.8590,31.4976,52.1706,34.7641,68.9438
62.1047,50.3953,42.4624,67.7683,80.0913
65.1978,32.0706,52.1307,35.5632,63.8199
49.8729,56.2251,19.0737,78.5663,17.1872
52.8079,45.1477,29.0269,79.1356,20.7769
52.4206,45.6958,26.9612,83.9491,20.1387
59.2799,51.5201,32.4377,80.9666,65.3035
52.6691,44.7870,19.5241,74.8088,21.7018
71.3353,56.2517,38.4129,68.3941,77.8557
60.6198,50.1271,38.7057,73.0051,77.7974
66.8042,53.8375,41.6070,63.6481,75.7755
60.7743,31.3401,47.5425,33.6741,73.7738
66.2701,31.5407,46.7772,38.5474,70.0120
39.0328,79.4543,58.3486,57.1737,25.4722
60.9780,29.9374,49.7050,33.4334,68.8932
34.8170,71.7395,61.2340,60.7403,39.7542
52.3921,48.5620,25.5006,79.5658,20.2138
51.0042,51.8065,23.0976,83.9398,19.0933
67.6395,50.4885,37.1527,70.0371,65.5950
66.5044,54.5149,35.8016,67.6915,84.2525
64.1816,43.1515,30.8300,75.6969,62.8162
60.1632,50.4507,38.3449,60.0662,72.8486
63.8595,28.9243,50.4141,33.4774,73.5459
54.3042,49.4802,20.9847,78.2501,19.5658
62.8393,52.5166,33.7454,67.2138,59.3756
63.8034,25.1095,53.1235,34.8028,63.9922
73.5325,52.0267,33.9481,61.9058,72.4433
59.7257,43.7079,33.0924,66.0035,69.9377
53.3004,49.3589,27.7302,74.7116,23.0665
38.7517,74.5634,58.2526,59.0332,31.9829
63.7907,50.1762,40.8770,61.8619,82.4663
36.5770,76.1267,63.3885,53.1273,29.2380
67.7848,44.8152,37.9142,60.1808,77.0097
71.3960,45.5481,32.3646,73.5990,65.3518
36.7172,73.3096,50.6599,53.8688,25.1470
69.2220,49.6614,39.3608,68.7552,74.1845
61.8426,48.5942,35.2459,74.7220,71.2737
63.4905,47.8702,32.8556,72.4614,62.7672
32.6006,76.6445,63.8140,55.9738,29.4235
64.8588,29.0856,50.0865,37.0449,72.0089
66.6336,32.6909,53.0578,39.7928,69.8025
65.5670,54.3618,36.7609,59.5266,70.2797
70.0644,55.3262,36.1023,56.3558,77.8088
38.8138,67.6621,52.8862,57.1341,33.3925
59.3917,51.0214,37.5592,68.5588,64.4970
53.5530,53.4622,23.3738,78.1945,19.3303
61.3417,55.2412,25.8627,71.0979,62.5036
66.6778,45.2863,30.3316,74.8809,65.1394
63.5004,28.6983,51.3717,36.7300,69.0945
36.7579,73.4060,63.7456,57.0660,40.8640
49.8253,49.3013,17.8635,75.7133,21.4171
49.6168,38.1681,20.7988,83.7317,26.4191
57.7862,50.5654,25.5699,80.2101,26.3654
64.3488,29.2080,54.1636,40.8901,62.1141
35.1748,69.3938,60.4545,55.3667,29.9128
63.0578,50.3218,39.4997,63.2599,75.9173
51.5145,52.4522,21.0043,78.6126,25.1239
41.6396,74.5798,65.3531,52.7581,29.2095
56.4387,42.8432,34.6181,75.5107,63.2593
65.5544,48.8939,40.0634,58.3441,77.8837
62.1074,52.0972,39.4036,64.8130,78.4132
37.5633,71.6397,59.9662,57.9781,28.6864
32.7400,69.8499,58.7779,55.1989,30.8655
37.0002,73.7245,57.9736,52.7809,31.0066
35.8193,72.4757,63.5428,54.2140,30.9317
67.7827,55.9610,37.9746,59.1464,80.0782
67.5600,27.7868,54.8526,38.7163,66.2533
65.3162,45.1557,30.2764,74.0694,70.0888
56.0482,51.3938,21.0095,77.7730,23.5853
52.6930,28.3597,56.7978,39.8431,72.1796
38.7052,71.7961,59.3144,57.6198,37.4010
63.5604,49.3205,31.0503,72.4919,65.1869
63.6926,48.6185,41.4280,61.1544,72.5007
38.5508,72.1007,62.2990,59.5159,31.9223
62.1707,30.8638,50.3630,34.4740,66.1576
49.3261,50.4036,24.3240,79.1070,16.0543
56.2389,54.8328,17.8169,75.1684,19.3396
65.1512,47.5160,34.1148,69.7859,63.2939
51.7814,52.8866,25.4940,77.0680,22.8793
67.2646,55.2915,43.7949,70.3699,72.1140
35.6185,72.6259,56.1822,57.3685,34.1300
64.0721,28.7262,52.6703,33.5953,65.1121
62.6957,52.2847,40.4505,65.0366,80.9530
66.6492,30.1953,46.8295,35.9842,74.1163
58.7313,54.9982,30.7700,72.9911,67.9904
48.6490,44.7752,27.8815,80.6675,17.4975
35.4738,68.8033,59.6110,63.0282,33.5129
35.4542,74.2945,59.9570,51.9407,29.8962
66.9098,53.6581,40.7338,60.2532,71.6587
52.7306,49.9728,22.0539,79.0450,23.4038
64.0565,28.0144,52.1069,35.1949,70.1966
61.4490,29.8075,54.2269,36.8694,63.2854
34.0327,69.6317,64.2789,57.1729,28.6705
48.4317,48.8909,24.5318,82.0228,24.7041
48.1853,50.7185,19.9428,75.0558,19.9301
62.7787,31.7426,53.2231,37.8034,71.9217
38.2665,76.1122,54.5194,53.8420,34.5360
72.3098,55.2088,45.3790,60.0234,78.1308
45.5998,48.3924,24.8565,84.9365,23.8128
37.9974,69.8355,58.5085,48.9234,32.9301
65.7870,31.0911,50.3902,38.9912,65.5531
37.0881,69.7424,55.9041,54.4974,28.1822
66.2977,32.3631,46.7795,37.8754,64.6800
68.4983,55.5027,40.3990,64.9805,83.2568
67.3696,46.3642,33.2604,68.3917,60.4788
32.8600,74.6355,60.7078,61.6666,27.8216
65.2185,33.6102,53.7978,35.2288,73.3098
61.7838,53.6021,45.7163,70.9190,76.5914
62.5021,29.2387,50.2160,37.5327,66.7785
68.3091,53.2361,42.0511,67.4795,78.6492
65.1711,45.0430,33.8771,80.0432,65.4049
69.7897,32.0785,48.9053,33.9838,65.5673
47.5327,49.7943,20.6987,79.5452,22.5098
60.2858,52.0261,37.0255,66.3825,71.5446
62.2091,31.8958,47.1775,35.9136,67.9748
57.8581,49.0498,26.4365,70.0135,60.9016
68.1697,50.7335,43.2613,62.3274,77.6789
67.6741,29.2497,51.4623,40.3406,67.4511
64.3425,42.5358,33.5733,71.6280,66.7768
70.1096,55.0710,41.6118,61.3641,81.0039
55.8404,51.9839,19.4615,82.5035,24.6660
60.1900,48.1001,41.3393,66.9677,61.3844
54.4582,53.3333,20.2198,81.2607,16.0841
65.5586,55.7188,38.1153,71.7065,79.0374
55.7336,56.8404,23.1545,79.6119,17.8655
66.3951,29.7655,55.1966,36.2800,72.1222
40.0838,75.9385,58.7463,57.4353,33.1726
67.6399,56.9336,44.0103,57.7706,81.1857
65.4367,42.6364,31.6058,73.2886,68.4008
60.6007,29.6129,50.2026,39.0261,70.3413
64.3237,41.7994,33.8090,78.2976,60.8714
56.0400,50.0336,23.2700,77.9134,22.7043
59.0292,42.5695,34.6124,67.7230,72.2119
63.1931,29.3342,52.7967,32.3947,67.6849
35.7046,68.0423,64.5672,54.0101,29.1311
60.2153,44.8343,25.0572,78.1603,22.4072
58.4906,49.2492,23.2003,76.9186,23.9065
47.1304,52.4435,20.4462,74.8700,16.1023
59.0875,24.1394,50.2076,36.4872,68.3298
67.5669,28.3716,52.7258,36.1661,70.2821
63.1625,53.1072,43.8454,65.8145,73.3747
69.6848,48.1416,34.1892,74.0829,64.7795
61.9280,29.9736,59.4051,35.4874,65.6093
63.7651,34.8161,55.1664,32.3554,68.8859
55.1950,49.9559,26.5358,77.4401,18.8510
64.8648,28.2010,56.9331,36.5152,73.3014
55.6209,48.2557,31.0856,75.5650,65.1708
49.7658,48.8553,22.9988,80.4483,22.4245
64.6037,27.0447,44.8490,35.1591,66.7908
49.4648,49.3620,19.0793,85.0922,22.2358
63.4593,44.0917,30.9069,71.4665,62.3186
60.9332,53.5112,38.0456,67.9119,77.5219
67.3415,53.9046,40.9832,72.3421,77.0767
70.9300,51.0001,37.2839,65.0586,77.3965
37.3859,69.2994,58.4812,53.8862,28.4272
50.7151,49.4975,24.1518,79.6786,18.7587
69.1421,54.2694,38.9783,62.8483,81.9094
65.2698,34.6639,51.5276,36.4630,65.1020
51.7063,47.7311,23.7283,77.3142,20.1780
69.2374,52.5195,43.5407,68.3399,74.4289
68.3705,53.4993,43.8004,60.8418,75.0266
52.0292,44.4258,21.7790,80.6705,13.8511
52.9754,57.8671,29.5027,83.0420,24.9702
71.1831,44.6768,45.1803,67.2129,73.3502
61.8651,27.7557,51.7297,31.3341,70.9110
38.1664,71.8246,55.1985,50.5708,31.6452
36.2005,73.8329,52.1664,63.1143,31.4702
34.6537,69.4837,61.9701,57.9419,29.3523
65.2646,44.6111,32.9387,78.8167,68.9029
67.0643,49.9113,30.5550,71.4737,64.3132
64.3913,49.7508,40.8569,65.0047,67.6620
56.5301,48.9678,26.1172,80.6378,27.0868
68.1566,56.7233,40.3357,61.8503,82.4827
67.2223,31.9271,48.2374,38.8504,67.9808
36.1955,77.1681,62.3203,54.4480,30.8312
52.9039,51.2503,24.3670,83.2950,17.6090
54.8586,58.8441,20.8123,78.1634,26.6722
71.1378,51.8894,41.3550,73.2934,71.5655
64.4116,56.4762,46.0327,64.5391,74.8216
57.7624,44.9196,31.1287,72.4291,59.0929
72.4321,42.0008,36.5216,71.0680,62.3154
33.7199,69.6052,64.3167,55.9624,30.2868
30.5552,73.2271,56.7324,57.1788,25.8371
62.3341,40.7095,32.6855,72.3208,63.5165
64.2249,29.3469,50.8739,36.6789,66.7504
58.4140,42.0468,34.3857,74.7422,64.3465
66.0381,28.7416,48.0213,39.2802,66.5302
60.7564,44.2951,30.3818,73.1314,58.5327
39.2182,72.1141,55.0162,58.5308,30.7286
67.9004,48.7287,43.5727,66.3047,86.6354
62.6056,30.1207,52.2851,33.6822,69.9637
60.6762,43.7204,35.1077,73.1970,63.3302
65.1341,51.6395,39.7813,66.4853,78.3000
65.2069,44.6663,35.0425,70.8656,70.1213
47.0918,47.3308,24.7902,75.1928,21.8387
66.4883,50.5984,44.1722,64.3225,74.6566
67.5341,28.1795,49.7328,37.5581,72.4407
65.6143,50.0807,34.7680,74.7403,65.3998
37.3513,70.6663,61.5412,60.8344,31.7530
64.4593,28.2209,52.5788,38.3750,63.9780
58.7267,46.0475,36.1452,76.2008,68.6804
66.6629,44.2450,34.7252,71.3840,63.6033
59.7367,54.4169,45.0070,61.2385,68.7712
38.7186,72.8014,59.2688,53.1516,33.5677
66.4526,31.2912,51.3877,39.8816,69.3283
69.4929,55.7001,38.4421,57.0519,73.2695
65.8359,29.9283,54.3082,34.9990,66.4966
60.0513,49.0317,45.2251,69.1341,79.1737
34.3837,80.5586,61.3618,58.0191,28.5910
62.3577,34.0936,46.5414,35.9418,64.9383
66.7745,31.5066,54.6360,37.5713,67.2245
53.0823,45.7847,21.1636,79.3986,19.0027
62.0547,31.2325,50.2006,37.0861,67.4222
60.9574,47.6910,32.0999,75.0850,64.0017
72.7128,32.3040,51.6122,35.7462,73.2240
66.2460,30.3407,52.3955,39.1355,70.7979
55.8979,49.3584,23.1886,83.4626,18.9318
63.7617,33.9406,48.3144,38.7485,68.5182
51.2314,50.2690,21.5007,76.0364,21.4072
61.6157,28.9067,56.2763,37.0131,68.8746
64.9341,28.1841,55.3834,36.8958,68.3701
52.0694,51.2034,30.5216,78.2082,17.9359
32.4682,67.0078,59.3392,56.1187,33.7556
50.1994,44.9518,19.4581,75.4732,19.2349
60.1917,48.0310,35.6239,75.0436,67.3755
74.5256,48.2846,42.0240,65.9479,76.8971
67.1268,25.9178,49.5661,33.7365,65.9037
32.8864,74.4102,64.1845,52.3214,32.9142
65.0597,34.0860,56.5676,39.6393,59.9639
52.9058,49.0601,21.0688,82.7725,13.6106
30.6593,68.1972,52.3288,54.0182,32.4261
66.5170,56.4663,42.2093,64.7889,72.0038
62.0919,45.5813,34.3104,68.6776,67.6068
64.8218,29.8959,55.6029,35.5846,70.6447
38.7787,68.6823,58.0772,58.1042,29.5369
39.4784,73.2569,57.2085,58.7330,31.0741
66.9279,54.6188,42.0574,67.7138,75.6007
40.6107,72.7505,57.6559,55.2377,34.4678
37.3595,68.8455,57.8834,60.5961,24.8524
67.5027,49.5236,35.9999,56.8926,74.3956
60.0263,54.0315,36.3666,80.8390,62.7562
32.2756,76.7757,59.2141,57.8684,33.2412
38.4968,71.3310,54.8214,50.9749,39.0036
57.8602,56.5959,23.1718,78.3223,25.2845
64.8630,51.0828,42.6526,65.0059,81.3647
34.2783,68.4674,59.4271,54.9002,30.8228
36.5092,75.9971,56.8882,48.8974,30.1568
65.5939,47.7928,39.3901,58.6405,73.6290
53.9888,50.8512,17.5310,81.5190,19.1674
36.3422,69.4646,64.4027,58.8055,39.2951
71.3253,53.6100,37.2983,64.8234,71.7048
68.3675,47.4191,34.3586,64.5908,64.5471
69.3893,49.3417,39.8535,69.5734,68.7503
56.2249,49.8325,24.6641,79.5750,19.7981
71.5941,53.7746,38.3552,61.7478,75.2585
61.3488,45.3334,23.4055,66.6185,63.8519
59.5540,52.4674,32.2138,75.0411,67.3675
56.5852,44.2531,34.4308,79.0795,64.4920
53.9264,57.2870,22.4992,71.7305,24.4673
70.3017,54.0803,40.7776,62.5920,75.3768
34.3645,78.1637,64.6762,57.0236,31.2568
70.1993,43.0235,31.5422,73.0081,63.0857
62.7742,48.8358,39.2198,67.2662,67.1629
65.7959,48.3713,41.1066,64.8702,82.3812
38.2157,79.9692,63.7346,53.1560,35.1464
64.0277,44.1274,32.9774,65.4785,62.8234
69.6721,52.1016,36.6704,59.0989,76.5720
32.6807,72.5322,59.2252,56.1005,32.7876
63.5783,28.7678,45.2657,36.1328,66.7535
51.5185,49.7528,15.5938,80.4157,26.3058
65.6720,47.6111,44.9225,61.3187,75.5377
63.1130,26.4915,49.7264,32.8706,71.6991
38.3619,68.9384,66.7847,57.9668,32.2948
34.8247,74.0615,61.0489,55.6858,37.9111
38.5712,73.4773,59.5039,52.4851,23.4346
54.6049,31.6639,52.3977,37.9023,67.6118
65.3824,50.6385,43.8390,60.8378,73.8313
64.6348,33.9710,53.5919,41.4780,70.8440
57.0920,56.2219,23.8766,79.7259,20.2667
61.5651,45.6052,36.8486,71.2280,65.5344
57.6475,43.5590,26.8288,72.4472,64.2404
63.3798,30.6371,48.5406,37.0486,66.9861
62.7065,31.0039,53.6568,38.2007,69.5585
63.1641,28.6740,48.0058,37.1115,67.9941
36.1268,67.0282,64.7817,54.7916,29.1918
55.2150,49.5891,17.4905,80.5943,25.4417
58.2571,48.4769,37.4238,73.2513,63.7263
66.6591,51.8103,40.6609,66.8272,83.2404
54.7273,30.6085,48.6256,39.5046,67.8580
63.5900,30.7331,51.2477,36.1047,68.0802
35.8052,72.0064,64.4026,52.7608,30.6629
63.6687,47.4366,30.2194,78.5016,64.0813
55.5368,49.3953,23.1018,77.4720,20.0626
60.1177,32.5517,53.4756,33.8384,68.5915
37.3304,74.8180,52.7917,55.7113,32.5173
69.0855,51.6806,40.1427,65.0371,71.6351
67.1786,53.0103,31.2589,73.6475,68.0284
62.9942,24.5904,53.4669,35.3594,71.2443
61.0969,31.7731,50.0420,41.1684,55.2037
68.0215,52.0967,39.8028,67.8179,75.5890
67.6478,50.6045,44.6695,66.7487,77.8065
65.2146,48.6981,38.8153,65.4378,74.7472
63.2773,42.4867,31.0933,72.8242,65.3042
50.8002,49.1260,22.9083,80.7594,23.5500
66.2881,54.9446,43.8570,56.8113,76.1023
39.7876,72.1371,61.1051,59.1144,36.1871
68.1616,51.0871,40.0465,69.3765,74.1311
67.1945,32.4946,52.6541,38.4380,72.0105
60.7536,44.9150,29.0278,69.9362,63.5729
62.4858,28.0175,50.9795,33.9208,68.6657
62.2521,27.0486,46.6946,35.4121,66.1790
48.9416,50.1359,22.8741,75.4564,21.9029
60.8781,32.8647,50.0984,33.6425,67.1997
59.2548,44.2814,31.7406,72.7968,66.1461
37.2142,67.3023,58.9015,57.1199,30.3026
40.6218,67.3992,64.4702,57.1482,35.4926
64.4851,33.1761,50.0401,31.8521,70.1348
37.6499,74.3584,54.5416,55.6380,33.5401
55.2585,47.1847,18.7517,84.2820,16.4832
68.9661,50.6473,45.1864,66.8182,79.2251
68.4156,44.1707,35.3422,75.2254,61.3348
58.8562,29.3338,50.8214,40.5144,70.4792
51.4156,52.4615,21.0361,80.5253,20.6271
67.3317,49.2309,36.2998,64.4755,74.7893
66.8208,33.4923,49.5453,30.8299,74.5733
37.4466,74.9000,60.4583,58.5972,32.7263
52.7696,48.5951,19.7403,84.7477,22.3759
41.2855,73.0994,62.4955,53.3426,34.8424
65.8812,59.5177,42.2352,67.5070,73.1561
44.8259,77.1757,63.3711,52.1979,32.8226
66.6941,28.0044,50.5150,36.0005,70.1194
67.8519,26.6633,52.6962,33.9521,72.8116
53.3975,47.8414,24.5157,73.8984,19.6880
64.6468,51.4353,40.9963,62.7825,77.2177
71.2726,50.6094,41.4103,69.2462,74.6503
64.3198,28.5092,50.1944,41.2448,69.5761
36.4518,71.1543,62.9926,58.8707,31.7122
58.4473,49.9737,23.4070,72.0105,11.3085
61.9969,43.8729,31.6429,71.0685,60.6860
70.1106,27.1436,49.5257,37.3333,67.9495
65.8677,53.3712,29.9888,73.6266,64.5253
50.7211,48.5616,21.9773,80.3730,16.9222
36.2452,72.0040,58.6240,55.4752,30.9957
65.9493,33.2523,51.3338,29.3447,64.7484
57.1839,26.4713,53.6033,34.5011,71.0095
36.5359,73.7009,62.5989,56.1045,34.3026
61.4321,27.3070,45.9511,41.0743,67.6098
57.7988,50.7407,39.5600,67.4227,75.3243
58.4790,47.6217,30.0506,70.0878,60.3347
31.9397,72.1306,59.9660,57.6310,27.9408
53.3504,49.8538,24.1774,80.4257,21.5229
65.4938,29.6862,49.3588,34.2775,69.2189
68.3871,52.4090,45.4455,57.8145,75.5758
66.5915,54.2074,43.1715,66.9804,83.1235
54.1693,44.7466,21.9263,75.4695,23.5531
39.4873,67.0261,61.2344,56.0353,36.8066
51.3736,49.7870,20.1582,78.7410,16.2752
54.7661,51.3395,21.9679,80.5342,19.7900
70.8065,53.3437,39.9311,66.0616,76.1833
61.6843,36.9503,54.6777,42.3303,68.3820
54.5220,50.0990,23.5609,74.4232,20.5748
50.3719,51.5906,20.1890,83.1099,19.0220
52.5207,43.3336,27.5353,78.9421,20.0350
66.9669,23.7252,57.1836,32.0369,75.9454
60.0721,43.1776,35.0103,70.7734,67.7110
62.4775,42.4199,29.2632,77.0574,61.4614
62.9210,40.4080,34.4617,71.0691,65.5516
61.2715,31.8503,45.8625,32.9886,73.5234
49.1772,46.2677,21.6789,77.6567,28.9790
71.8697,32.0593,50.5995,32.2758,67.6991
62.4122,34.3347,52.8535,36.2737,72.3428
53.1007,54.1180,21.3647,74.7147,21.3861
62.5896,50.5931,43.2189,72.7623,80.8010
38.6381,74.4095,62.1359,60.0967,32.8823
65.2942,52.5089,37.2013,67.9838,78.5850
63.3853,56.2335,37.9095,70.9879,69.9375
60.9473,27.9446,49.8874,38.1584,61.6429
63.5753,30.4258,51.7374,34.6231,70.0186
66.6106,45.2432,33.8290,74.1122,63.5262
32.1353,65.8233,58.2745,57.3899,35.6937
51.6803,49.8803,14.9436,79.6377,16.5479
70.7227,57.8107,40.8733,71.4843,76.7218
50.3393,46.6610,24.4924,85.5638,21.3826
36.0989,72.9251,63.3908,51.4474,30.3036
64.8300,51.6409,38.4027,64.0027,73.4049
69.7861,48.9722,40.9116,58.8253,82.6840
63.2939,45.9985,37.6485,74.0332,65.4389
64.2399,43.5950,30.2934,68.5067,61.6455
64.0074,29.5212,51.4705,36.0497,68.6084
63.7800,35.0252,54.0146,36.4403,73.9105
51.8846,52.3536,19.9978,81.9752,25.0903
52.3520,50.3475,21.3504,74.5209,19.4482
36.7052,67.6596,61.7180,55.5008,26.3311
31.5182,76.6385,69.6128,55.1461,32.4432
52.2310,54.7179,21.5193,83.2599,21.6247
67.3477,47.4046,38.8554,68.8029,62.5153
58.6785,54.8118,25.5385,76.7294,21.0464
72.9558,49.7686,38.8321,64.5430,78.8180
64.3131,47.1383,32.1747,76.1844,65.0298
61.0525,25.3269,50.8266,37.4387,61.7203
37.1215,76.2292,55.5861,53.1064,36.3780
67.7644,51.2638,39.0305,66.7946,75.4952
66.6860,30.7012,46.7957,39.9751,73.4711
61.5527,49.7724,29.8500,68.0108,63.8711
61.9220,56.2222,39.6405,62.5169,75.4089
64.7617,30.0884,54.9590,34.2226,65.5429
51.2280,50.0677,19.9178,84.2278,25.4170
49.7279,55.4392,22.8188,76.4736,20.0522
68.7033,56.3319,38.1861,72.0397,75.8010
62.7937,43.7225,32.8408,69.5825,62.6762
34.2410,74.4528,56.4704,58.1914,30.1064
68.1313,53.6647,43.4180,65.4175,73.6079
31.2381,70.7588,69.6757,55.8366,33.9675
65.0976,47.2706,37.7821,66.1993,74.6994
56.4712,54.1159,20.6683,70.2867,25.5825
50.3083,50.4369,19.5110,81.9964,18.2478
35.2125,74.6809,59.8435,49.9229,30.3174
30.2338,74.0102,59.0144,50.8556,32.7008
35.5944,68.8087,55.9255,52.8566,31.4479
60.3829,47.3609,33.1402,79.1847,60.3936
51.9748,51.1154,19.5186,74.2170,21.5142
39.3327,75.5811,60.5340,53.0351,28.2806
67.2950,33.2151,49.2042,36.4109,65.4011
64.0167,46.2920,36.0492,71.5438,66.9086
62.9063,50.1141,28.3197,74.4311,62.0520
71.9437,49.7873,46.4505,71.4742,75.0182
37.2729,74.7743,53.8487,58.5334,34.7161
64.5239,53.0917,42.5436,64.3697,70.3136
60.4434,51.6510,45.4244,59.9935,75.7875
60.3296,52.9661,37.7861,68.5145,65.6152
60.8878,52.1098,34.3811,65.5744,62.8359
62.1157,46.0703,37.7269,73.7397,60.5639
48.4738,50.3073,24.2686,77.9876,19.5760
53.7685,56.0377,16.4136,76.9812,21.9513
64.6619,45.6539,34.8007,60.4857,61.9803
63.3331,50.6256,36.0774,76.3948,64.6333
61.2258,45.6635,31.0938,69.9610,63.9571
63.9760,55.1517,41.5919,74.2424,74.3613
53.0964,40.1490,21.4506,77.1514,24.4890
64.3293,53.4025,41.9257,70.4262,77.6372
69.1638,44.4750,40.0857,76.4879,56.4036
59.3948,30.7330,45.1157,39.3006,69.5989
